speakerid_x,age,age_onset,L1,L1_coded,sex,Eng_experience,typology,vowels,WER,MER,norm_area
1422,21,13,Arabic,1,0,82,0,6,0.47826087,0.452054795,500.472517
1458,39,16,Arabic,1,0,79,0,6,0.347826087,0.311688312,837.62135
1920,22,21,Arabic,1,0,71,0,6,0.231884058,0.222222222,496.145976
970,40,7,Arabic,1,0,93,0,6,0.217391304,0.202702703,630.641616
2086,57,12,Arabic,1,1,83,0,6,0.217391304,0.2,873.404279
1421,25,7,Arabic,1,0,93,0,6,0.202898551,0.189189189,397.436605
2036,23,12,Arabic,1,1,83,0,6,0.188405797,0.183098592,1662.60752
20,21,14.5,Arabic,1,0,81,0,6,0.188405797,0.185714286,721.414639
1116,19,17,Arabic,1,0,79,0,6,0.188405797,0.183098592,898.930691
17,24,9,Arabic,1,0,91,0,6,0.173913043,0.169014085,680.690566
1901,25,11,Arabic,1,0,84,0,6,0.173913043,0.157894737,1278.30719
1181,47,12,Arabic,1,1,83,0,6,0.173913043,0.166666667,1129.55957
1405,22,5,Arabic,1,0,96,0,6,0.15942029,0.150684932,480.723308
1115,30,12,Arabic,1,0,83,0,6,0.15942029,0.157142857,1190.16991
1461,36,22,Arabic,1,0,69,0,6,0.15942029,0.157142857,836.59112
1012,43,14,Arabic,1,1,81,0,6,0.144927536,0.138888889,1281.9923
1784,50,14,Arabic,1,0,81,0,6,0.144927536,0.142857143,4679.4068
437,40,33,Arabic,1,0,55,0,6,0.144927536,0.136986301,734.388103
2154,19,4,Arabic,1,1,96,0,6,0.130434783,0.125,1601.74988
18,19,6,Arabic,1,0,94,0,6,0.130434783,0.126760563,1259.30944
1459,29,12,Arabic,1,0,83,0,6,0.130434783,0.130434783,1570.48243
11,38,12,Arabic,1,1,83,0,6,0.130434783,0.128571429,1612.42961
1391,56,16,Arabic,1,0,79,0,6,0.130434783,0.130434783,859.392249
1700,34,9,Arabic,1,0,91,0,6,0.115942029,0.111111111,1897.41719
920,23,10,Arabic,1,1,90,0,6,0.115942029,0.115942029,1010.19206
1778,32,10,Arabic,1,1,90,0,6,0.115942029,0.114285714,2226.15512
2087,36,10,Arabic,1,0,90,0,6,0.115942029,0.114285714,691.982884
1204,28,11,Arabic,1,1,84,0,6,0.115942029,0.111111111,1243.49543
428,47,11,Arabic,1,0,84,0,6,0.115942029,0.114285714,714.516355
1810,55,15,Arabic,1,1,80,0,6,0.115942029,0.112676056,1138.71781
1768,19,18,Arabic,1,0,78,0,6,0.115942029,0.114285714,1783.97192
2022,35,19,Arabic,1,1,77,0,6,0.115942029,0.111111111,1898.25501
2155,19,4,Arabic,1,1,96,0,6,0.101449275,0.1,2047.20854
1832,20,11,Arabic,1,1,85,0,6,0.101449275,0.1,1512.33544
2112,27,10,Arabic,1,1,90,0,6,0.086956522,0.084507042,1982.12078
1769,28,10,Arabic,1,1,90,0,6,0.086956522,0.084507042,1027.7754
2159,40,10,Arabic,1,1,90,0,6,0.086956522,0.085714286,1919.12298
2005,49,10,Arabic,1,1,90,0,6,0.086956522,0.085714286,1852.44261
1456,32,12,Arabic,1,1,83,0,6,0.086956522,0.085714286,1438.09197
643,36,12,Arabic,1,0,83,0,6,0.086956522,0.086956522,1270.30624
1457,28,13,Arabic,1,0,82,0,6,0.086956522,0.085714286,1221.6089
471,22,16,Arabic,1,0,79,0,6,0.086956522,0.085714286,360.657772
22,21,17,Arabic,1,0,78,0,6,0.086956522,0.085714286,1250.49758
625,43,18,Arabic,1,0,77,0,6,0.086956522,0.085714286,1658.53445
539,18,6,Arabic,1,0,95,0,6,0.072463768,0.072463768,1494.66589
1702,55,9,Arabic,1,0,91,0,6,0.072463768,0.070422535,449.761701
1899,24,13,Arabic,1,1,82,0,6,0.072463768,0.071428571,1158.08245
1393,18,16,Arabic,1,0,80,0,6,0.072463768,0.072463768,741.900377
1785,43,22,Arabic,1,0,68,0,6,0.072463768,0.070422535,10.1865491
1569,70,33,Arabic,1,0,52,0,6,0.072463768,0.070422535,785.762663
12,26,5,Arabic,1,0,95,0,6,0.057971014,0.054794521,1248.73993
1392,36,6,Arabic,1,0,94,0,6,0.057971014,0.057971014,783.610685
1133,19,8,Arabic,1,1,93,0,6,0.057971014,0.057142857,1327.11957
2160,21,10,Arabic,1,0,91,0,6,0.057971014,0.057971014,1473.65067
927,42,13,Arabic,1,0,82,0,6,0.057971014,0.057142857,1282.27989
21,18,15,Arabic,1,1,80.5,0,6,0.057971014,0.057142857,1222.56952
1827,47,16,Arabic,1,0,79,0,6,0.057971014,0.057142857,340.466923
2153,21,7,Arabic,1,0,93,0,6,0.043478261,0.042253521,904.586199
1455,29,7,Arabic,1,1,93,0,6,0.043478261,0.042857143,1202.50363
1460,26,8,Arabic,1,0,92,0,6,0.043478261,0.043478261,894.653069
1426,29,8,Arabic,1,1,92,0,6,0.043478261,0.043478261,1396.79268
1013,70,10,Arabic,1,0,90,0,6,0.043478261,0.042857143,1465.6234
1203,42,12,Arabic,1,0,83,0,6,0.043478261,0.043478261,956.895622
1420,19,13,Arabic,1,0,83,0,6,0.043478261,0.043478261,750.800032
1711,60,14,Arabic,1,0,81,0,6,0.043478261,0.043478261,1549.69723
15,25,15,Arabic,1,0,80,0,6,0.043478261,0.043478261,1152.172
16,18,2.5,Arabic,1,0,98,0,6,0.028985507,0.028571429,724.255542
1897,19,3,Arabic,1,1,97.5,0,6,0.028985507,0.028985507,959.951338
2008,19,4,Arabic,1,1,96,0,6,0.028985507,0.028985507,1616.93869
1805,20,6,Arabic,1,0,94,0,6,0.028985507,0.028985507,2036.93741
2114,24,9,Arabic,1,1,91,0,6,0.028985507,0.028169014,1991.01193
14,32,11,Arabic,1,0,84,0,6,0.028985507,0.028985507,1725.96031
1927,26,12,Arabic,1,1,83,0,6,0.028985507,0.028571429,1416.514
1917,42,12,Arabic,1,0,83,0,6,0.028985507,0.028985507,2254.49907
13,30,14,Arabic,1,1,81,0,6,0.028985507,0.028985507,1520.49029
2157,25,16,Arabic,1,1,79,0,6,0.028985507,0.028985507,1975.73958
1914,22,17,Arabic,1,0,78,0,6,0.028985507,0.028571429,1026.3276
1526,36,17,Arabic,1,0,78,0,6,0.028985507,0.028571429,1843.29653
1828,29,21,Arabic,1,1,69,0,6,0.028985507,0.028571429,1794.02783
2161,22,3,Arabic,1,0,97,0,6,0.014492754,0.014492754,4.15922863
1870,18,4,Arabic,1,0,97,0,6,0.014492754,0.014492754,2151.2245
1892,25,4,Arabic,1,0,96,0,6,0.014492754,0.014285714,94.810149
23,28,4,Arabic,1,1,96,0,6,0.014492754,0.014492754,2234.78414
1011,38,5,Arabic,1,0,95,0,6,0.014492754,0.014285714,691.189443
1777,23,6,Arabic,1,0,94,0,6,0.014492754,0.014492754,954.174274
1487,21,9,Arabic,1,1,91,0,6,0.014492754,0.014492754,1462.23919
2143,31,10,Arabic,1,1,90,0,6,0.014492754,0.014492754,2607.45484
1677,43,12,Arabic,1,0,83,0,6,0.014492754,0.014492754,50.8884351
1963,24,14,Arabic,1,1,82,0,6,0.014492754,0.014492754,1190.7372
19,19,15,Arabic,1,1,80,0,6,0.014492754,0.014492754,1956.46264
512,35,15,Arabic,1,0,80,0,6,0.014492754,0.014492754,1196.11365
1699,28,17,Arabic,1,1,78,0,6,0.014492754,0.014492754,1027.49212
1885,26,2,Arabic,1,1,98,0,6,0,0,942.193326
1964,28,3,Arabic,1,0,97,0,6,0,0,1776.89707
1894,18,4,Arabic,1,1,96,0,6,0,0,1709.57224
1253,34,6,Arabic,1,1,94,0,6,0,0,988.316962
1753,20,7,Arabic,1,0,94,0,6,0,0,1239.33227
1565,22,7,Arabic,1,0,93,0,6,0,0,2386.68737
1841,47,7,Arabic,1,1,93,0,6,0,0,1884.22475
1394,19,9,Arabic,1,1,92,0,6,0,0,1677.69359
1486,23,12,Arabic,1,0,84,0,6,0,0,888.057458
670,46,30,Arabic,1,1,68,0,6,0,0,1711.22065
537,19,6,Dutch,6,0,98,0,13,0.072463768,0.072463768,456.694618
1223,23,10,Dutch,6,0,90,0,13,0.072463768,0.072463768,1543.27108
956,36,10,Dutch,6,0,90,0,13,0.072463768,0.071428571,1844.76235
1473,21,13,Dutch,6,1,82,0,13,0.072463768,0.071428571,1251.68099
1464,21,14,Dutch,6,0,81,0,13,0.072463768,0.067567568,1874.70383
1551,36,8,Dutch,6,0,92,0,13,0.057971014,0.057142857,1019.95077
743,18,10,Dutch,6,0,91,0,13,0.057971014,0.057971014,1484.19719
57,38,13,Dutch,6,0,82,0,13,0.057971014,0.057971014,3068.61307
1517,41,13,Dutch,6,0,82,0,13,0.057971014,0.057142857,961.974423
1263,22,11,Dutch,6,1,84,0,13,0.043478261,0.043478261,1792.6138
1740,21,12,Dutch,6,1,83,0,13,0.043478261,0.043478261,1924.32736
1265,21,13,Dutch,6,1,82,0,13,0.043478261,0.043478261,1192.37531
770,54,13,Dutch,6,1,82,0,13,0.043478261,0.043478261,1366.18395
1742,22,2,Dutch,6,0,86,0,13,0.028985507,0.028571429,826.911121
1275,22,8,Dutch,6,0,93,0,13,0.028985507,0.028985507,1418.33297
1261,21,12,Dutch,6,1,84,0,13,0.028985507,0.028985507,1411.09956
1476,21,12,Dutch,6,1,83,0,13,0.028985507,0.028985507,1310.47297
1743,22,12,Dutch,6,1,83,0,13,0.028985507,0.028985507,1184.75834
896,35,12,Dutch,6,1,83,0,13,0.028985507,0.028985507,1805.19275
897,68,12,Dutch,6,1,83,0,13,0.028985507,0.028571429,813.548113
1262,23,14,Dutch,6,0,81,0,13,0.028985507,0.028985507,768.945651
58,41,14,Dutch,6,0,81,0,13,0.028985507,0.028985507,656.045403
1482,22,10,Dutch,6,1,90,0,13,0.014492754,0.014492754,1180.0505
1479,21,11,Dutch,6,1,85,0,13,0.014492754,0.014492754,1354.97407
2115,37,11,Dutch,6,1,84,0,13,0.014492754,0.014492754,1295.21907
1260,23,12,Dutch,6,1,83,0,13,0.014492754,0.014492754,2349.47348
913,39,12,Dutch,6,0,83,0,13,0.014492754,0.014492754,1485.60916
1274,21,13,Dutch,6,1,82,0,13,0.014492754,0.014492754,1533.50543
1268,23,13,Dutch,6,0,82,0,13,0.014492754,0.014492754,1464.41127
1270,23,13,Dutch,6,1,82,0,13,0.014492754,0.014492754,1714.08579
1271,23,13,Dutch,6,1,82,0,13,0.014492754,0.014492754,1983.35863
1269,23,14,Dutch,6,1,81,0,13,0.014492754,0.014492754,715.567825
1300,29,7,Dutch,6,0,94,0,13,0,0,1153.35108
1466,22,9,Dutch,6,1,92,0,13,0,0,81.7844758
1484,25,9,Dutch,6,0,91,0,13,0,0,1021.07002
1003,33,10,Dutch,6,1,90,0,13,0,0,1788.98657
847,46,10,Dutch,6,1,90,0,13,0,0,1439.66723
1705,21,11,Dutch,6,0,84,0,13,0,0,9.78104959
1481,21,12,Dutch,6,1,83,0,13,0,0,1558.36703
1004,35,12,Dutch,6,1,83,0,13,0,0,2521.30772
1264,21,13,Dutch,6,1,83,0,13,0,0,1639.08288
1266,23,13,Dutch,6,1,82,0,13,0,0,1502.3434
1463,23,13,Dutch,6,1,82,0,13,0,0,1554.22415
